"indore" "kimberley" "albuquerque" "valencia" "viena" "abashiri" "tampa" "sao_paulo" "lahore" "punta_arenas" "helsinki"
128.09 -38.54 -34.76 -110.84 -23.13 -29.35 -6.83 -14.04 -18.56 0.54 66.2
44.43 -74.58 -56.74 -40.41 -1.91 223.25 36 154.19 -195.55 -36.39 50.5
-96.16 -113.16 -12.34 -33.2 41.3 53.14 24.81 26.04 -84.86 -56.04 90.41
-57.67 -102.94 14.48 -6.8 19.44 39.1 -31.64 -31.93 -33.71 -24.68 121.86
-49.41 -132.45 6.48 -25.63 85.96 42.6 -39.2 101.49 22.13 -76.56 60.6
-29.23 -84.07 -0.13 0.19 22 130.1 11.62 83.93 45.57 -79.41 58.3
-63.75 -76.64 -2.93 156.41 33 37.2 58.78 15.46 40.53 -60.04 49.5
-138.21 14.81 4.86 20.42 17.22 21.6 148.93 -53.75 -44.93 -51.41 56.1
-222.43 -50.12 -13.32 -27.13 43 11.16 -40.8 -51.57 -135 -4.83 30.87
-222.87 -33.84 -60.34 -61.89 28.84 57.3 37.44 30.24 -114.1 -11.03 31.8
-191.21 -18.67 -100.63 -57.92 47.16 -30.78 63.52 -20.91 -344.49 -11.43 17.77
129.51 -17.75 -40.25 -100.77 -27.95 -25.5 119.91 -46.73 -30.99 1.86 -39.2
214.92 -32.71 -83.26 -92.18 -11 -35.2 -74.9 -40.39 -183.13 -22.14 33.2
113.33 -57.39 -71.98 -24.3 -5.34 33.6 57.23 -41.61 -112.03 -45.11 53.48
-4.76 -70.53 -43.39 37.14 -9.34 53.05 51.88 -6.86 -107.52 -39.11 48.7
-43.91 -44.75 -24.13 -23.09 5.88 178.51 -47.44 45.64 -33.83 -51.3 22.69
-14.92 17.58 11.2 -6.07 12.42 27.8 -38.29 127.51 45.49 -42.96 33.11
-23.95 -95.15 13.2 -15.23 2.55 192.6 70.86 35.59 5.33 -66.95 37.28
-41.62 -55.26 -12.25 -10.2 11.36 51.5 -1.27 21.94 -8.17 -74.03 21.43
-112.68 56.9 -25.97 21.72 8.86 101.7 -46.39 112.18 -55.15 -55.73 31.7
-234.22 -7.98 -41.83 -33.77 27.86 104.07 -50.86 -30.15 -187.89 -21.82 21.7
-214.89 20.06 -69.09 -47.77 23.03 -9.78 66.69 -28.36 -218.66 -16.72 -10.13
-1.66 -14.08 -81.81 -24.41 71.21 -16.49 51.78 52.38 -132.04 27.24 29.34
-14.12 -19.19 -98.24 -83.79 19.53 -35.74 192.25 1.32 -56.11 1.54 8.18
-16.76 -40.24 -85.87 -90.39 21.46 33.68 179.85 -56.1 -100.21 15.52 66.38
-72.87 -48.24 -50.19 -67.36 -12.7 25.79 -101.1 25.8 -204.5 15.73 74.35
-139.74 -84.13 -13.79 -14.47 3.74 30.01 -37.15 30.88 -109.81 -11.41 49.24
-24.05 -96.21 -5.38 43.78 96.64 108.55 70.29 205.56 -10.56 -58.03 70.8
-37.5 -130.4 2.38 56.57 30.75 114.8 49.67 104.38 -10.8 -62.59 79.3
-42.68 -176.36 3.8 -14.58 27 70.1 89.11 254.76 4.98 -3.94 45.6
-75.1 -125.09 -11 -28.44 38.97 40.4 -18.09 -39.1 -24.16 -50.09 41.4
-109.42 15.83 10.19 -29.61 34.3 34.4 101.28 4.99 22.76 -3.34 43.4
-148.18 -55.84 -19.63 -24.05 -6.11 70.92 78.83 58.91 -77.12 -12.07 19.29
-260.94 -23.49 -8.47 -26.16 72.07 79.86 -56.25 -15.41 -164.32 -22.81 58.98
-276.63 -25.61 -84.62 -48.63 90.94 25.44 45.05 -18.34 -337.58 -0.73 -26.81
90.19 -14.82 -70.19 -74.42 39.64 69.74 -59.95 46.5 -228.6 -14.26 -43.02
189.91 -37.8 -90.42 -94.64 -32.59 1.01 28.8 46.86 111.74 1.92 10.01
-68.47 -46.49 -53.8 -67.39 -29.76 29.41 -9.72 2.71 -152.25 -21.5 -11.22
-114.7 -73.25 -19.39 -14.02 9.75 55.31 -60.64 45.24 -103.63 27.53 64.15
-51.77 -66.74 -18.66 65.13 -16.19 72.02 -7.75 -42.5 -26.85 -47.57 24.64
-33.73 -15.18 26.6 14.59 56.53 37 -37.09 17.41 1.13 -64.77 30.5
-29.69 -110.31 -7.27 4.63 59.61 37.9 -33.29 101.8 -7.56 -50.32 58.2
-40.9 -120.6 -5.2 25.55 4.78 31.7 37.64 142.33 2.44 -49.33 36.5
-91.57 -28.04 -12.34 -37.59 22.84 25 7.72 29.72 -43.52 -43.12 50.65
-184.44 -60.82 -37.4 -42.54 51.49 44.75 -69.94 -56.2 -116.11 -54.07 52.62
-240.65 -33.74 -71.98 -23.45 -15.6 49.25 -113.96 -46.52 -201.07 13 72.47
-110.99 -26.98 -48.64 -38.84 11.18 2.24 -31.15 21.59 -289.63 15.36 -5.99
75.66 -18.64 -62.83 -94.03 -2.16 -41.01 31.03 -37.18 -118.42 -14.96 -57.59
80.7 -33.81 -53.88 -95.39 -4.64 2.76 35.67 63.57 -139.4 35.34 26.9
-31.55 -86.05 -48.52 -73.01 -6.27 -12.8 -89.46 107.06 -195.48 51.21 32.22
-81 -45.72 -39.57 -12.37 -7.78 24.9 -3.96 61.3 -124.16 -61.28 107.57
96.48 -125.67 -24.75 38 22.2 14.41 -64.63 -33.94 -45.9 -56.7 72.2
-19.32 -32.16 3.92 33 30 76.3 6.43 25.97 26.46 -67.46 37.3
-32.55 -47.74 -4.53 -16.43 16.25 96.5 -6.58 71.53 -1.43 -52.61 40.2
-38.35 -92.73 -2.56 97.27 51.41 45.6 -16.02 73.23 -13.46 -82.02 56.6
-91.29 -27.71 -23.47 -6.47 22.21 42.7 8.09 96.99 -47.55 -52.95 14
-176.15 -44.68 -21.74 -19.45 7.03 20.18 38.19 -10.92 -123.24 -36.24 22.24
-261 -47.42 -21.05 -44.56 51.97 5.49 -32.61 -34.72 -311.37 -48.09 69.25
-102.63 -27.08 -96.67 -74.36 1.7 -17.11 147.62 -20.88 -312.24 -1.11 28.85
255.6 -29.64 -47.45 -102.08 -56.74 -1.19 -37.73 21.75 -191.61 11.17 -4.67
312.95 -23.52 -41.77 -107.01 -17.36 -42.57 50.44 -48.26 -141.32 -32.88 53.01
-72.26 -64.91 -74.93 -38.09 23.28 39.64 122.08 -51.86 -77.72 -47.04 22.17
-66.15 -72.59 -24.35 -29.33 -17.39 -7.97 -34 22.8 -124.47 -64.42 68.94
-60.66 -109.38 -5.56 -22.14 21.27 45.03 -48.23 6.06 -1.27 -35.83 66
61.49 -110.27 3.46 27.18 75.47 42.3 -18.96 175.04 3.75 -60.02 54.2
-28.15 -110.82 -0.49 9.76 55 96.5 11.56 426.63 -7.08 -50.86 47
-27.42 -136.61 7.93 56.47 27 63.4 -5.12 220.22 -10.05 -80.19 7.2
-120.21 44.64 -16.81 -7.21 1.76 57.9 -16.07 52.82 -77.55 -41.61 16.3
-179.99 -39.16 -36.16 -12.88 20.64 55.85 -29.94 -47.63 -169.76 -28.23 52.88
-275.27 -46.93 30.58 43.83 23.4 11.67 -10.31 130.11 -285.08 -33.52 -0.87
-80.98 -10.85 -98.08 19.51 10.04 -3.87 50.29 -51.48 -189.9 -30.99 -8.87
96.05 -22.33 -71.48 -95.78 -1.21 25.84 84.28 -27.99 -148.53 -14.03 7.58
69.68 5.98 -59.56 -74.49 -42.56 77.5 32.6 12.66 120.31 -25.83 17.48
-22 41.8 8.94 28.78 -45.4 -12.83 200.75 -2.47 -205.16 -32.07 38.54
-99.11 -88.84 -1.89 -16.25 2.85 56.89 -68.12 -12.89 -106.1 -56.16 75.42
-68.04 -85.39 13.31 -18.54 28.25 28.96 -63.49 38.57 -39.28 -48.43 58.52
-32.13 -109.84 1.03 -22.37 39.81 72.4 49.9 144.98 48.84 5.63 70.52
-36.88 -68.12 0.1 23.02 7.37 52.7 3.14 143.77 8.37 -82.92 38.25
-40.07 -73.83 -4.19 51.22 46.94 110.8 36.57 90.05 -15.98 -80.02 21
-114.13 -35.18 5.32 -31.01 37.52 95.7 210.71 -19.36 -63.92 -64.6 32.71
-182.46 -38.32 -43.58 -21.66 27.56 26.52 21.01 -44.93 -88.77 -48.61 17.23
-266.88 -46.87 -44.11 -35.51 -2.11 -16.15 41.07 5.1 -249.9 -28.4 12
-81.25 -26.96 -97.55 -61.98 -55.51 9.34 108.37 -42.79 -289.58 30.57 -35.58
336.34 -31.43 10.86 -94.91 -30.64 -0.33 -70.63 -19.29 38.21 14.53 11.08
86.4 -26.79 -67.94 -98.25 42.05 12.03 33.63 13.82 -204.97 -4.42 10.25
325.37 -53.2 -59.78 -64.77 -16.23 76.56 -39.58 15.27 -164.5 -28.46 -2.2
-108.69 -82.97 -31.32 -37.41 178.08 23.4 -50.9 53.99 -119.85 -47.25 34.26
-48.08 -119.97 4.44 -0.24 41.68 175.76 -43.95 42.91 -35.9 -66.31 115.97
-40.18 -120.81 1 -14.34 62.09 38.1 131.56 357.95 -12.91 -49.52 33.8
-46.95 -67.88 4.73 -18.6 16.85 87.6 63.75 147.61 30.45 -87.8 79.3
-50.69 -43.93 15.41 -22.53 57.76 16.7 9.65 186.48 13.15 -66.41 49.5
-93.92 -50.43 -5.75 52.81 30.24 139.1 147.89 221.14 -25.51 -48.18 42.6
-216.64 -41.06 25.3 -34.21 15.2 44.68 119.09 -15.45 -167.75 -45.78 9.83
-282.31 -62.86 -34.92 -49.91 -54.27 17.66 -20.62 -17.55 -236.2 -38.02 6.51
-241.77 -29.62 -83.53 -88.07 0.29 27.49 -107.39 -2.75 -323.85 10.48 2.28
164.33 -8.88 -96.2 -93.93 -0.26 16.88 15.23 -47.66 12.08 -3.66 -16.23
238.46 -43.25 -95.81 -110.58 41.71 26.77 8.94 -33.71 -0.36 -26.53 -16.92
-7.56 -66.02 -30.26 -25.47 90.72 -26.17 82.76 87.45 -137.45 -28.35 59.47
78.29 -55.61 -36.57 -43.67 15.11 60.42 -89.31 29.44 -92.13 -32.99 40.16
-25.59 -10.6 17.88 -2.95 23.21 57.01 -67.21 65.61 -41.77 -61.11 10.38
-20.42 -141.23 0.51 97.64 32.05 42.9 -51.35 78.52 -15.04 -43.08 127.9
-47.42 -100.02 11.4 21.21 32.56 50.7 -51.21 212.87 18.95 -61.2 57.4
-38.87 -83.56 -5.01 136.21 16 33.5 -67.49 26.02 -18.65 -82.21 27.4
-82.47 -56.36 -8.32 -0.7 25.8 12.9 27.87 92.94 -43.27 4.85 33.2
-173.46 -98.28 -31.68 -16.17 -15.87 38.97 -55.59 -78.2 -155.73 36.72 68.14
-279.87 -53.32 -28.17 -28.71 16.74 22.24 21.59 67.69 -211.46 -16.83 36.94
-154.17 -25.78 -89.08 56.84 -45.05 -56.02 77.36 -15.25 -371.37 45.74 -21.71
420.14 -27.97 -58.64 44.24 -15.47 57.65 -123.79 -42.41 -109.45 54.24 -31.17
-26.62 -49.98 -50.48 -77.22 -31.58 88.85 234.2 -14.88 -178.82 -3.11 4.66
236.09 -24.85 -54.51 49.2 -61.3 186.52 11.03 -29.18 -221.25 5.26 19.09
-92.88 -81.95 -0.44 -9.46 6.99 -17.15 -43.13 54.41 -119.13 -59.82 47.93
-51.86 -104.38 -16.26 74.42 35.89 84.02 -7.03 144.48 -38.95 -37.75 74
-40.45 -118.78 9.23 139.66 6.91 31.7 -45.83 151.18 27.13 -19.02 22.29
-35.49 -136.44 1.5 2.63 30 65.2 -31.96 46.47 -3.58 -48.33 41.7
-53.41 -148.39 0.06 40.81 53.42 27 42.91 -6.95 -19.47 -2.22 44.5
-111.88 -115.93 -19.36 -0.28 -9.81 58.7 18.44 28.3 -32.6 -68.43 35.6
-181.48 -58.16 -14.85 7.4 5.75 9.08 74.92 -58.42 -93.41 12.69 42.37
-194.59 -60.82 -47.49 -31.92 35.9 12.6 -97.69 -4.6 -227.47 -16.33 -18.21
60.53 -25.24 3.39 119.46 -19.14 -27.33 -16.42 20.9 -330.19 61.77 -56.81
240.36 -31.19 -62.15 -89.05 -1.65 25.72 163.08 -14.94 -185.19 -4.82 -10.48
284.54 -47.27 -36.43 -102.58 -8.89 30.23 15.43 -40.23 52.17 7.74 11.11
154.52 -79.26 -60.61 -38.84 -15.68 22.9 92.73 3.72 -92.58 -36.81 -24.15
-63.21 -110.04 -43.12 12.29 39.41 92.09 -64.94 10.2 -116.23 14.9 31.8
-56.52 -31.37 7.45 5.63 40.13 21.76 -41.87 5.85 -32.2 -53.07 21.2
-24.26 -46.21 -5.81 56.19 63 110.2 -49.21 67.31 -18.73 -66.59 50.8
-22.54 -2.82 -1.46 -5.86 33.97 100.6 -10.95 158.43 7.51 -32.48 32.7
-59.56 -56.24 -14.33 -16.96 40.36 26.2 72.11 43.37 -27.02 -71.92 22.9
-96.05 -41.26 -26.11 -23.05 -6.9 21.3 9.87 28.69 -23.28 -59.52 44.2
-196.41 -22.35 -41.48 8.26 -20.68 6.83 12.23 -35.59 -144.32 -30.89 25.23
-260.61 -39.39 -57.96 -50.74 -3.06 30.63 -17.52 -55.03 -232.36 37.04 -15.89
39.34 -41.71 -83.49 -71.12 -7.52 -1.13 263.35 -18.62 -301.94 29.63 -45.39
112.86 -24.92 -105.51 -87.34 -67.88 -11.54 19.8 -43.37 -190.45 18 -9.33
429.78 -58.05 -58.74 -38.8 33.47 -4.46 1.68 -21.34 -114.4 -4.72 -25.04
276.71 -75.44 -49.49 -43.17 -21.37 80.29 52.38 12.97 -242.2 -28.25 7.9
-88.14 -49.73 -44.23 -33.8 -3.21 40.03 -19.92 25.44 -102.87 -55 125.55
-13.43 4.52 4.91 19.87 10.92 60.49 -56.24 47.01 -37.79 -54.41 58.51
-38.99 -103 16.24 -27.68 30.71 22.4 -13.06 214.66 -9.01 -51.34 25.8
-23.44 -136.72 17.85 66.72 36 67.5 -27.49 81.6 77.38 -15.23 40.5
-51.34 -76.49 -1.82 -24.74 68.04 25.8 3.22 157.37 66.47 -29.11 54.4
-92.21 -14.3 -19.14 24.8 39.28 26.5 -63.2 58.39 -50.89 -28.45 44
-125.79 -7.44 -26.01 -39.59 48.84 41.06 -35.11 -1.13 -9.46 -17.68 61.84
-258.74 33.84 -25.26 70.89 47.04 63.9 -40.61 1.39 -236.93 36.89 -21.69
-61.06 -13.52 -57.4 -73.41 -55.92 44.73 45.77 14.66 -325.61 -4.1 -3.09
227.22 -30.32 -107.35 -51.8 -29.7 4.5 110.18 -3.61 -248.79 19.91 9.49
-7.5 -25.79 -7.76 -78.74 -30.09 128.2 141.05 12.34 -140.32 -1.03 70.97
102.99 -51.06 -43.26 -84.41 -32.78 47.06 124.83 160.28 -184.98 -29.87 59.86
-14.85 -92.61 -38.32 -34.41 53.62 17.21 -46.2 118.7 -110.59 -14.64 94.02
-55.9 -79.73 22.86 -22.7 9.34 76.61 -37.31 -18.4 -33.27 -42.84 8.61
-38.66 -76.81 6.78 -14.48 29.38 37 55.99 50.86 -13.05 -11.78 80.05
-31.31 -77.31 13.34 3.64 31.47 69.4 51.92 45.05 -4.35 -73.38 77.4
-49.63 -90.93 -5.79 52.41 46.26 42.3 155.92 73.77 21.46 -72.06 43.8
-82.96 2.82 -19.06 15.62 12.83 58.7 9.9 130.08 -24.78 -40.05 39.17
-160.67 -62.17 -39.28 -25.58 -0.54 44.48 -57.02 -56.93 -115.19 -23.15 21.05
-257.18 24.92 -62.58 32.86 122.69 11.04 -22.29 -25.69 -368.56 -12.27 41.29
64.76 -34.39 -90.64 46.32 -30.55 10.13 -16.66 -61.79 -134.12 -23.15 -47.05
-76.61 -34.95 -94.6 -62.81 5.22 25.38 69.46 -19.17 -151.81 0.39 -3.91
-1.59 -50.48 -93.87 -87.96 -17.12 -5.64 39 85.69 -150.52 -24.62 -28.65
146.78 -22.95 -21.47 121.33 -34.92 -19.46 -27.25 60.46 -164.33 -38.04 14.9
-102.39 -68.77 -36.85 -38.06 142.29 59.74 -47.58 29.97 -99.86 -37.78 72.64
67.92 31.87 -12.3 63.32 7.63 33.04 -35.91 21.04 -38.77 -76.7 25.24
-31.42 -83.07 0.43 -6.71 14.77 35.1 10.14 109.61 3.39 -71.34 15.6
-25.64 -69.81 5.3 -16.7 29 31.2 -39.13 121.81 -7.91 -84.15 44.1
-58.11 -46.24 -2.31 -36.12 37.5 67.7 239.77 10.86 90.7 -68.48 51.9
-84.14 -46.77 1.47 -29.79 89.18 50.9 25.61 76.4 -39.21 -57.51 72
-174.43 -63.1 -27.22 -23.58 32.31 6.91 22.41 118.82 -84.52 -35.86 2.54
-265.04 -29.67 2.16 -8.34 -49.44 20.68 12.27 62.91 -268.34 -30.28 -19.02
17.01 -28.64 -40.94 -28.56 7 9.5 3.74 -2.29 -355.14 -10.63 -30.05
233.14 -22.72 -85.14 -90.2 32.35 -22.39 58.79 -50.02 -10.71 5.6 -14.8
-2.59 -56.49 -108.87 -85.04 45.87 -20.17 54.22 14.2 -301.4 28.07 -21.46
124.69 -65.32 -64.25 -56.23 77.17 89.51 -113.76 -23.47 -193.1 -34.82 37.5
-86.97 -110.84 -28.48 64.78 -9.16 39.72 -18.38 96.28 -105.53 -57.47 -12.6
-69.65 -130.67 -18.73 -39.54 35.91 17.87 42.43 134.83 -39.32 -69.88 65.17
-21.79 -86.44 6.37 -18.65 60.02 71.9 -0.74 93.31 9.54 -82.97 64.2
-46.51 -88.27 -0.67 19.06 52.78 64.5 -2.48 43.32 34.18 -82.57 57.5
-37.52 -46.84 2.68 -16.98 10.32 20.2 -31.51 11.85 14.02 -80.26 15
-129.9 -90.85 -14.54 -23.67 26.15 14.3 -46.46 13.46 -62.67 -57.84 15.56
-207.58 -77.13 -33.83 -18.86 23.55 41.93 -70.07 137.09 -159.28 -35.65 22.62
-217.45 -52.34 -62.42 14.61 44.2 28.93 3.44 23.6 -343.01 -15.18 -2.39
268.64 -27.21 -59.46 -55.08 -41.52 19.32 92.78 -12.85 -139.12 18.46 -15.2
308.23 -26.98 -70.99 -82.57 -18.17 -55.82 113.14 -8.46 -301.06 -14.39 -45.95
89.93 -27.75 -106.2 -77.84 170.03 -91.56 -142.53 17.65 -259.1 -18.78 -49.49
-83.06 -64.04 -18.03 -21.53 7.01 181.38 4.27 71.08 -239.63 -22.81 -25.47
68.13 -72.36 -31.67 146.92 -16.23 37.88 95.21 110.36 -104.81 -16.77 118.38
-48.48 -70.88 -5.61 -25.51 21.87 67.49 -45.31 30.6 -35.54 -34.31 27.71
-39.06 -83.68 3.22 15.59 37 80.2 -26.25 81.41 -13.58 7.91 35.7
-43.61 -8.1 15.72 -20.61 29.66 127.7 -3.55 97 -4.03 35.27 48
-61.48 -37.54 8.1 -14.41 4.37 53.8 -39.38 50.17 50.72 -41.7 22.1
-75.82 -59.26 -3.21 -24.15 67.2 43.6 -45.93 10.78 3.35 7.95 18.5
-170.98 -68.41 -21.49 14.67 -32.65 13.67 -57.8 -13.21 -103.74 -39.98 15.65
-260.39 -30.15 -67.93 -32.76 88.9 84.92 60.98 -4.57 -278.32 13.33 -16.4
-177.42 -36.54 -101.91 -38.63 -20.79 75.32 98.38 -23.69 -242.82 14.88 -53.22
158.43 -12.84 -50.06 -65.43 9.19 72.1 83.91 -0.44 -199.72 -5.32 4.99
210.14 -15.35 -93.55 -52.71 -13.38 48.19 220.54 -55.59 -233.06 28.59 -52.9
20.35 -61.45 -58.25 -19.45 -8.15 161.32 -42.08 -23.88 -194.7 -9.71 -3.22
-107.15 -41.58 -22.23 1.43 72.42 -23.84 -50.48 -49.56 -134.74 -27.73 2.29
-46.12 -67.19 3.44 -20.21 48.4 7.12 -38.96 164.83 -40.63 -57.74 41.28
-32.39 -142 -6.48 -5.59 54.96 26 -10.22 58.03 -17.53 -69.87 27.3
-29.49 -112.02 10.22 120.34 36 32.4 69.35 184.4 52.32 -62.85 33.2
-54.77 -114.45 6.78 3.43 31 57.8 94.72 172.54 7.24 -53.26 18.9
-69.98 -17.26 -13.85 -34.27 34.15 50.7 5.83 -37.41 -33.41 -58.63 29.3
-172.61 -28.44 -33.8 -36.44 -13.05 46.68 15.3 -52.13 -123.94 -17.17 15.8
-260.32 -37.07 -28.23 -45.93 135.46 -2.43 -89.9 -43.92 -287.72 12.71 -24.8
12.12 -29.55 -65.25 -37.02 32.57 24.24 60.3 -45.04 -265.07 8.93 -11.19
268.35 -29.36 -101.21 -78 -6.62 17.55 -45.3 -51.78 -258.66 41.73 -44.99
171.62 -61.88 -18.79 -87.96 18.02 16.77 79.09 -44.33 -149.35 -10.08 -11.37
-1.42 -20.94 -30.66 -17.22 -23.81 7.38 -23.05 -13.28 -176.85 26.9 59.02
-6.94 -78.65 -42.31 -28.97 11.45 -4.59 -85.16 76.35 -123.17 -44.61 12
1.98 -81.28 25.49 -28.23 14.1 13.45 -53.71 -12.22 -51.3 -26.09 136.51
-33.8 -77.06 14.14 -11.18 10 26.8 21.68 20.35 -13.87 -42.35 39.4
-13.26 -20.64 25.92 34.45 54 62.2 53.9 40.26 25.46 -55.7 12.1
-48 109.75 -8.7 -15.85 85.64 28.4 55.91 60.21 -21.85 -51.66 64.3
-117.34 -114.27 7.57 -22.54 86.35 14.9 76.85 8.7 -73.87 37.39 66.2
-213.79 -45.41 0.65 -20.62 86.69 5.41 59.87 -74.78 -196.64 -24.37 2.72
-281.86 -60.47 11.41 -14.84 35.41 54.55 -104.74 -0.52 -287.13 -29.38 -16.4
-224.85 -29.04 -64.5 -63.21 -8.34 93.12 28.77 -22.41 -244.98 -12.7 -41.27
126.68 -34.33 -53.56 -74.06 133.43 114.62 -5.62 -4.47 -173.92 4.31 -68.74
298.54 -53.13 -77.62 -58.67 -12.22 8.52 -81.69 -34.81 -238.59 10.54 38.4
19.63 -33.06 -30.66 85.32 -3.68 163.5 8.9 148.24 -92.43 1.53 6.04
-124.04 -66.11 22.34 -19.99 70.14 127.88 -72.07 0.46 -167.95 -36.87 25.64
-64.03 -119.4 -9.54 11.96 76.79 15.67 53.54 146.51 -52.35 19.19 37
-48.12 -146.66 -0.21 0.84 10.54 41.9 128.21 71.86 -9.04 -38.12 74.3
-7.15 -128.78 -1.79 5.88 36 44.3 56 85.33 7.19 -59.47 48.8
-54.12 -103.48 9.67 4.21 37 10.6 67.99 228.99 4.25 -52.79 31.5
-117.64 -12.43 -4.94 -24.87 10.39 33.8 100.16 58.72 -37.07 -12.56 17.3
-231.98 -53.38 9.32 40.71 63.13 12.24 -32.08 77.24 -148.56 -20.06 9
-285.42 -30.99 -68.39 -57.27 42.06 17.79 -86.82 -41 -240.91 4.19 -11.12
-182.82 -30.17 -98.66 -55.71 41.73 55.58 24.94 36.38 -314.12 25.32 -28.48
402.65 -33.74 -114.15 -88.81 -23.78 -28.7 -42.74 72.96 -173.91 -9.77 10.7
141.83 -37.49 -71.52 -48.08 -37.74 46.42 -58.25 -56.05 -40.12 18.64 -32.43
12.03 -72.85 -42.6 -26.94 -54.79 65.84 -54.19 1.67 -146.02 22.65 41.73
-99.68 55.25 -30.04 -49.81 15.3 47.85 -102.25 -49.26 -112.1 -22.12 21.95
-50.85 -90.63 -24.26 19.88 27.24 92.2 -65.74 50.59 -58.07 -17.4 26.26
-28.7 -19.33 17.35 -13.33 -0.52 32.1 28.07 92.45 15.36 -72.73 94.1
-31.4 -118.69 -0.88 -25.72 30 45.4 -30.68 187.35 22.82 -36.94 48.1
-46.63 -89.26 -8.62 -6.43 12.87 18.5 1.86 24.35 -22.2 -61.26 51.72
-111.64 -74.84 -18.88 -5.31 16.02 39 42.24 24.73 -66.61 -38.25 24.47
-181.56 57.81 -56.46 -16.64 26.26 30.85 -60.8 -41.87 -129.31 -71.1 18.23
-203.4 -2.46 -37.32 -54.14 -14.45 30.35 -78.38 -74.53 -241.41 96.08 0.57
-32.21 -27.46 -70.58 -79.95 25.65 -11.89 162.72 -24.83 -241.81 -28.68 10.17
161.97 3.13 -89.88 -57.4 59.63 -33.87 123.17 -45.89 -142.7 -22.45 24.29
4.22 89.12 -84.2 -102.39 -55.04 57.34 0.7 -12.9 -248.43 -12.94 77.56
114.31 -60.49 -77.76 23.06 -30.65 94.48 -14.79 35.04 -238.19 41.52 8.94
-21.74 -71.21 -40.54 24.35 -36.18 39.72 -54.62 149.83 -124.09 -29.58 41.7
-66.52 12 -13.01 -15.3 44.21 26.05 -36.62 30.59 -50.91 -45.17 103.92
-30.37 15.51 23.3 41.69 42.01 21.5 -28.08 89.18 -21.81 -59.69 32.96
-26.87 -115.53 11.7 -15.71 41.5 65.5 17.49 25.44 18.89 -87.35 72
-48.46 -121.08 1.51 0.4 45.85 58.1 -45.46 182.43 31.37 -65.39 19.3
-60.84 -63.12 -4.58 -17.03 82.28 96.3 29.36 119.83 -20.64 -85.7 45.2
-173.05 -79.72 -10.88 -42.41 -14.5 61.3 -71.2 -29.1 -99.46 -35.42 41.87
-280.52 -22.96 -52.4 1.02 42.93 1.76 -35.9 -56.66 -306.9 -9.55 46.9
-133.78 20.88 -76.98 -54.25 93.43 -8.67 -6.58 -33.29 -285.07 1.37 65.8
316.44 -31.74 -70.46 -90.51 3.43 0.48 -56.67 -36.16 -147.27 35.93 -15.63
596.49 -59.42 -73.29 -100.85 -44.47 -53.96 -21.49 -36.53 -105.48 -3.07 -20.51
68.06 -58.67 -65.72 13 -31.79 56.15 -103.65 -50.54 -146.27 -17.5 55.55
51.75 -101.33 -29.48 -24.91 119.9 -17.08 54.3 9.23 -108.56 -24.44 41.01
-59.55 -111.4 -0.14 -28.45 101.16 40.7 -37.08 76.69 -47.66 -41.72 133.71
-49.44 -145.81 15.17 134.24 50.66 36.1 -22.14 113.9 0.92 -63.12 108.67
-15.13 -104.28 3.61 1.08 50 28.6 73.07 74.88 88.32 -70.85 84.9
-39.9 -144.48 -6.26 -13.99 50.71 103.8 -32.69 191.34 -14.48 -43.7 63.7
-101.75 -3.74 -5.39 -14.61 10.45 49 -84.68 68.91 -45.43 59.13 40.8
-171.2 -73.39 -14.91 -42.74 15.9 58.3 -67.86 -38.67 -50.75 83.91 23.95
-263.55 -37.88 -74.51 -28.08 -14.08 54.91 -104.14 -26.91 -246.76 -15.79 -7.72
-175.13 -23.94 -96.76 -57.19 -22.09 -17.27 310.86 139.57 -282.02 10.45 -2.15
220.76 -21.79 -90.54 -99.76 -28 78.32 158.9 -11.18 -133.54 -14.1 20.21
52.45 -48.22 -59.86 -87.38 -33.87 -4.45 157.06 -73.49 -129.71 39.18 4.23
244.93 -99.03 -82.54 -83.03 -6.4 46.15 56.25 -35.2 -124.95 -25.43 -9.56
-93.91 -90.96 -40.47 -54.92 35.22 40.15 -0.61 31.05 -118.98 -46.18 66.41
-47.05 -117.48 -18.49 8.09 79.09 144.28 -34.35 72.93 -47.51 -42.53 40.24
-26.54 -137.43 7.38 -13.84 21.32 59.9 65.13 112.77 -10.49 -90.41 56.1
-37.14 -61.26 4.88 68.17 38 43.4 18.96 164.98 -15.59 -90.31 30.5
-66.04 -88.17 -1.45 -22.07 67.33 25.9 103.04 23.74 -26.84 -30.82 54.5
-103.47 -38.71 2.09 28.05 4.24 54 -3.79 133.94 -39.57 -46.64 33.7
-235.54 -36.97 -52.74 80.39 -42.99 23.91 -77.35 -42.98 -222.3 -51.18 20.08
-253.23 -13.71 -59.78 -13.15 -19.87 71.76 -39.66 -57.27 -283.98 17.13 24.17
154.13 -27.44 -113.1 -66 -10.53 3.95 149.9 19.24 -299.06 -1.25 6.07
319.5 -33.15 -59.78 -87.52 38.47 5.07 192.4 63.45 -179.8 8.51 -40.72
200.46 -43.76 -70.99 -105.72 -19.84 -66.49 6.81 -60.8 -74.19 -5.42 -6.67
-26.97 -79.48 -77.28 -76.73 -45.75 -8.21 57.28 -71.96 -240.9 -0.67 59.41
-110.67 -28.19 -19.03 39.22 31.25 67.18 14.56 74.89 -113.48 -10.11 0.63
